day,totalCount,chinkCount,buglandCount,chankaroCount,chinaziCount,gookCount,insectoidCount,bugmenCount,chingchongCount,chinkFreq,buglandFreq,chankaroFreq,chinaziFreq,gookFreq,insectoidFreq,bugmenFreq,chingchongFreq
2020-03-15,504972,21.0,0.0,0.0,9.0,15.0,0.0,1.0,3.0,4.158646419999525e-05,0.0,0.0,1.7822770371426535e-05,2.970461728571089e-05,0.0,1.9803078190473928e-06,5.940923457142178e-06
2020-03-16,553933,27.0,0.0,0.0,6.0,16.0,0.0,0.0,5.0,4.874235692764287e-05,0.0,0.0,1.0831634872809528e-05,2.8884359660825407e-05,0.0,0.0,9.02636239400794e-06
2020-03-17,577780,18.0,0.0,0.0,19.0,13.0,1.0,1.0,17.0,3.11537263318218e-05,0.0,0.0,3.28844889058119e-05,2.24999134618713e-05,1.7307625739901e-06,1.7307625739901e-06,2.94229637578317e-05
2020-03-18,581117,25.0,0.0,0.0,14.0,19.0,0.0,0.0,12.0,4.3020596540799876e-05,0.0,0.0,2.4091534062847928e-05,3.26956533710079e-05,0.0,0.0,2.064988633958394e-05
2020-03-19,584684,41.0,0.0,0.0,15.0,15.0,1.0,0.0,13.0,7.012334868065484e-05,0.0,0.0,2.5654883663654215e-05,2.5654883663654215e-05,1.7103255775769475e-06,0.0,2.2234232508500318e-05
2020-03-20,599691,35.0,0.0,0.0,10.0,12.0,0.0,0.0,11.0,5.836339047943024e-05,0.0,0.0,1.6675254422694354e-05,2.0010305307233227e-05,0.0,0.0,1.834277986496379e-05
2020-03-21,563030,31.0,1.0,0.0,9.0,11.0,0.0,0.0,8.0,5.505923307816635e-05,1.7761042928440759e-06,0.0,1.5984938635596682e-05,1.9537147221284835e-05,0.0,0.0,1.4208834342752607e-05
2020-03-22,573829,37.0,0.0,0.0,8.0,13.0,1.0,0.0,9.0,6.447913925577132e-05,0.0,0.0,1.3941435514761366e-05,2.265483271148722e-05,1.7426794393451707e-06,0.0,1.5684114954106537e-05
2020-03-23,605692,32.0,0.0,0.0,7.0,14.0,0.0,0.0,2.0,5.2832132502988316e-05,0.0,0.0,1.1557028985028695e-05,2.311405797005739e-05,0.0,0.0,3.3020082814367698e-06
2020-03-24,616345,39.0,0.0,0.0,2.0,17.0,0.0,0.0,4.0,6.32762495031192e-05,0.0,0.0,3.2449358719548304e-06,2.758195491161606e-05,0.0,0.0,6.489871743909661e-06
2020-03-25,622637,38.0,0.0,0.0,7.0,15.0,0.0,0.0,6.0,6.103074504085045e-05,0.0,0.0,1.124250566541982e-05,2.4091083568756756e-05,0.0,0.0,9.636433427502702e-06
2020-03-26,627887,50.0,0.0,0.0,5.0,17.0,0.0,0.0,6.0,7.963216311215235e-05,0.0,0.0,7.963216311215235e-06,2.7074935458131796e-05,0.0,0.0,9.555859573458282e-06
2020-03-27,637103,49.0,0.0,0.0,10.0,14.0,1.0,0.0,5.0,7.691064082259854e-05,0.0,0.0,1.569604914746909e-05,2.1974468806456725e-05,1.569604914746909e-06,0.0,7.848024573734545e-06
